,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,card number
68,37,male,2,free,little,NA,1819,36,education,bad,1067
69,25,female,2,own,NA,NA,2394,36,radio/TV,good,1068
70,30,female,2,own,little,NA,8133,36,car,good,1069
71,46,male,1,rent,NA,NA,730,7,radio/TV,good,1070
72,51,male,3,free,little,little,1164,8,vacation/others,good,1071
73,41,female,1,own,little,moderate,5954,42,business,good,1072
74,40,male,3,own,NA,little,1977,36,education,bad,1073
75,66,male,3,free,little,little,1526,12,car,good,1074
76,34,male,2,own,little,little,3965,42,radio/TV,bad,1075
77,51,male,2,own,little,moderate,4771,11,radio/TV,good,1076
78,39,male,1,own,NA,NA,9436,54,car,good,1077
79,22,male,2,own,little,moderate,3832,30,furniture/equipment,good,1078
80,44,female,2,own,NA,NA,5943,24,radio/TV,bad,1079
81,47,male,2,own,quite rich,NA,1213,15,radio/TV,good,1080
82,24,female,1,rent,moderate,NA,1568,18,business,good,1081
83,58,female,1,own,little,little,1755,24,vacation/others,good,1082
84,52,male,1,own,little,little,2315,10,radio/TV,good,1083
85,29,female,3,own,little,NA,1412,12,business,good,1084
86,27,female,2,own,little,moderate,1295,18,furniture/equipment,good,1085
87,47,male,2,free,moderate,moderate,12612,36,education,bad,1086
88,30,male,3,own,moderate,little,2249,18,car,good,1087
89,28,male,2,own,little,little,1108,12,repairs,bad,1088
90,56,male,2,own,little,NA,618,12,radio/TV,good,1089
91,54,male,2,own,little,little,1409,12,car,good,1090
92,33,female,1,own,NA,NA,797,12,radio/TV,bad,1091
93,20,male,2,rent,NA,rich,3617,24,furniture/equipment,good,1092
94,54,male,2,own,rich,moderate,1318,12,car,good,1093
95,58,male,2,rent,little,moderate,15945,54,business,bad,1094
96,61,female,2,own,NA,NA,2012,12,education,good,1095
97,34,male,2,own,moderate,moderate,2622,18,business,good,1096
98,36,male,2,own,little,moderate,2337,36,radio/TV,good,1097
99,36,male,3,rent,NA,moderate,7057,20,car,good,1098
100,41,male,1,rent,moderate,NA,1469,24,car,good,1099
101,24,male,2,rent,little,moderate,2323,36,radio/TV,good,1100
102,24,female,2,own,little,NA,932,6,radio/TV,good,1101
103,35,male,2,rent,little,moderate,1919,9,furniture/equipment,good,1102
104,26,male,2,rent,NA,NA,2445,12,car,good,1103
105,39,male,3,own,little,moderate,11938,24,vacation/others,bad,1104
106,39,male,3,own,little,NA,6458,18,car,bad,1105
107,32,male,2,own,little,moderate,6078,12,car,good,1106
108,30,female,2,own,NA,little,7721,24,furniture/equipment,good,1107
109,35,male,2,own,quite rich,moderate,1410,14,business,good,1108
110,31,male,2,own,moderate,moderate,1449,6,business,good,1109
111,23,female,2,rent,little,rich,392,15,education,good,1110
112,28,male,1,rent,little,moderate,6260,18,car,good,1111
113,25,female,2,own,little,NA,7855,36,car,bad,1112
114,35,male,2,own,quite rich,little,1680,12,radio/TV,good,1113
115,47,male,2,own,NA,NA,3578,48,radio/TV,good,1114
116,30,female,3,own,NA,little,7174,42,radio/TV,bad,1115
117,27,female,2,rent,NA,little,2132,10,furniture/equipment,good,1116
118,23,female,2,own,quite rich,little,4281,33,furniture/equipment,bad,1117
119,36,male,3,own,quite rich,moderate,2366,12,car,good,1118
120,25,female,2,own,little,little,1835,21,radio/TV,bad,1119
121,41,female,3,rent,little,NA,3868,24,car,good,1120
122,24,male,1,rent,little,NA,1768,12,furniture/equipment,good,1121
123,63,male,2,free,little,rich,781,10,car,good,1122
124,27,female,2,rent,NA,moderate,1924,18,furniture/equipment,bad,1123
125,30,male,2,own,little,little,2121,12,car,good,1124
126,40,male,1,own,little,little,701,12,radio/TV,good,1125
127,30,male,2,own,little,moderate,639,12,repairs,bad,1126
128,34,male,3,own,little,moderate,1860,12,car,good,1127
129,29,female,2,own,little,little,3499,12,car,bad,1128
130,24,female,2,own,NA,moderate,8487,48,car,good,1129
131,29,male,2,own,little,little,6887,36,education,bad,1130
132,27,male,1,own,little,NA,2708,15,furniture/equipment,good,1131
133,47,male,2,free,little,NA,1984,18,furniture/equipment,good,1132
134,21,female,2,own,moderate,NA,10144,60,radio/TV,good,1133
135,38,female,2,own,NA,NA,1240,12,radio/TV,good,1134
136,27,male,2,own,rich,NA,8613,27,car,good,1135
137,66,male,1,own,quite rich,moderate,766,12,radio/TV,bad,1136
138,35,male,2,own,NA,moderate,2728,15,radio/TV,good,1137
139,44,female,1,rent,little,rich,1881,12,radio/TV,good,1138
140,27,male,0,own,rich,rich,709,6,car,good,1139
141,30,female,3,own,little,moderate,4795,36,radio/TV,good,1140
142,27,male,3,own,little,little,3416,27,radio/TV,good,1141
143,22,male,2,own,little,little,2462,18,furniture/equipment,bad,1142
144,23,female,2,own,little,NA,2288,21,furniture/equipment,good,1143
145,30,male,2,own,moderate,moderate,3566,48,business,good,1144
146,39,female,2,own,little,little,860,6,car,good,1145
147,51,female,2,own,moderate,NA,682,12,car,good,1146
148,28,male,2,own,little,little,5371,36,furniture/equipment,good,1147
149,46,male,2,own,rich,NA,1582,18,radio/TV,good,1148
150,42,male,2,free,moderate,NA,1346,6,radio/TV,good,1149
151,38,male,2,own,little,NA,1924,10,radio/TV,good,1150
152,24,male,2,own,little,rich,5848,36,radio/TV,good,1151
153,29,female,2,rent,rich,moderate,7758,24,car,good,1152
154,36,male,3,rent,moderate,moderate,6967,24,business,good,1153
155,20,female,2,rent,little,little,1282,12,furniture/equipment,bad,1154
156,48,male,2,own,moderate,little,1288,9,repairs,good,1155
157,45,male,1,own,little,little,339,12,education,good,1156
158,38,male,2,own,moderate,moderate,3512,24,car,good,1157
159,34,male,1,own,NA,NA,1898,6,radio/TV,good,1158
160,36,male,2,own,moderate,NA,2872,24,radio/TV,good,1159
161,30,female,2,own,little,NA,1055,18,car,good,1160
162,36,male,2,own,quite rich,NA,1262,15,domestic appliances,good,1161
163,70,male,3,free,little,moderate,7308,10,car,good,1162
164,36,male,2,own,quite rich,NA,909,36,car,good,1163
165,32,male,2,own,quite rich,NA,2978,6,furniture/equipment,good,1164
166,33,female,2,own,little,little,1131,18,furniture/equipment,bad,1165
167,20,female,2,own,rich,moderate,1577,11,furniture/equipment,good,1166
168,25,female,2,rent,little,NA,3972,24,furniture/equipment,good,1167
169,31,male,2,own,little,moderate,1935,24,business,bad,1168
170,33,male,2,rent,little,little,950,15,car,bad,1169
171,26,female,2,own,little,NA,763,12,furniture/equipment,good,1170
172,34,female,3,own,little,moderate,2064,24,furniture/equipment,bad,1171
173,33,male,2,own,little,moderate,1414,8,radio/TV,good,1172
174,26,male,2,own,little,little,3414,21,education,bad,1173
175,53,female,3,own,NA,NA,7485,30,car,bad,1174
176,42,male,2,own,little,little,2577,12,furniture/equipment,good,1175
177,52,male,2,own,quite rich,little,338,6,radio/TV,good,1176
178,31,male,3,rent,little,NA,1963,12,radio/TV,good,1177
179,65,male,2,own,little,little,571,21,car,good,1178
180,28,male,2,own,little,NA,9572,36,business,bad,1179
181,30,male,3,own,little,moderate,4455,36,business,bad,1180
182,40,male,1,own,NA,little,1647,21,car,bad,1181
183,50,male,2,own,rich,NA,3777,24,furniture/equipment,good,1182
184,36,male,2,own,little,moderate,884,18,car,bad,1183
185,31,male,2,own,little,NA,1360,15,radio/TV,good,1184
186,74,female,3,free,little,moderate,5129,9,car,bad,1185
187,68,male,0,free,little,moderate,1175,16,car,good,1186
188,20,male,2,own,moderate,little,674,12,radio/TV,bad,1187
189,33,female,2,own,little,moderate,3244,18,furniture/equipment,good,1188
190,54,male,3,own,rich,NA,4591,24,business,bad,1189
191,34,male,1,free,moderate,moderate,3844,48,business,bad,1190
192,36,male,2,own,little,moderate,3915,27,business,bad,1191
193,29,male,2,rent,little,NA,2108,6,radio/TV,good,1192
194,21,male,2,rent,moderate,moderate,3031,45,radio/TV,bad,1193
195,34,female,3,own,little,moderate,1501,9,education,bad,1194
196,28,female,2,own,little,NA,1382,6,radio/TV,good,1195
197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,bad,1196
198,36,male,2,free,NA,moderate,2760,24,car,good,1197
199,40,male,3,own,little,moderate,4297,18,furniture/equipment,bad,1198
200,52,male,2,own,quite rich,NA,936,9,education,good,1199
201,27,male,1,own,little,little,1168,12,car,good,1200
202,26,male,2,own,little,NA,5117,27,business,good,1201
203,21,male,2,rent,little,little,902,12,education,bad,1202
204,38,male,1,own,little,NA,1495,12,car,good,1203
205,38,male,3,free,little,little,10623,30,car,good,1204
206,43,male,2,own,little,NA,1935,12,furniture/equipment,good,1205
207,26,male,2,own,little,moderate,1424,12,domestic appliances,good,1206
208,21,male,1,own,little,little,6568,24,business,good,1207
209,55,male,2,own,rich,NA,1413,12,car,good,1208
210,33,male,2,own,NA,NA,3074,9,radio/TV,good,1209
211,45,female,1,own,NA,NA,3835,36,radio/TV,good,1210
212,50,male,2,own,little,little,5293,27,business,bad,1211
213,66,male,3,own,little,rich,1908,30,business,bad,1212
214,51,male,2,own,NA,NA,3342,36,radio/TV,good,1213
215,39,female,1,own,NA,moderate,932,6,education,good,1214
216,31,male,2,own,little,little,3104,18,business,good,1215
217,23,male,2,own,little,rich,3913,36,radio/TV,good,1216
218,24,male,1,rent,little,little,3021,24,furniture/equipment,good,1217
219,64,female,2,own,little,NA,1364,10,car,good,1218
220,26,male,1,own,little,moderate,625,12,radio/TV,good,1219
221,23,female,2,rent,NA,little,1200,12,education,good,1220
222,30,male,2,own,little,NA,707,12,radio/TV,good,1221
223,32,male,2,own,NA,NA,2978,24,business,good,1222
224,30,male,2,own,little,NA,4657,15,car,good,1223
225,27,male,2,own,little,NA,2613,36,repairs,good,1224
226,27,male,2,own,rich,moderate,10961,48,radio/TV,bad,1225
227,53,male,3,free,little,little,7865,12,furniture/equipment,bad,1226
228,22,male,2,own,little,NA,1478,9,radio/TV,bad,1227
229,22,male,2,free,little,little,3149,24,furniture/equipment,good,1228
230,26,male,2,own,little,rich,4210,36,radio/TV,bad,1229
231,51,male,1,free,quite rich,NA,2507,9,car,good,1230
232,35,male,2,own,moderate,NA,2141,12,radio/TV,good,1231
233,25,male,1,own,little,moderate,866,18,radio/TV,good,1232
234,42,male,1,own,little,NA,1544,4,radio/TV,good,1233
235,30,male,3,own,little,little,1823,24,radio/TV,bad,1234
236,23,male,0,own,NA,moderate,14555,6,car,bad,1235
237,61,male,1,rent,moderate,moderate,2767,21,business,bad,1236
238,35,female,2,own,little,NA,1291,12,radio/TV,good,1237
239,39,male,2,own,little,little,2522,30,radio/TV,good,1238
240,29,female,2,own,NA,little,915,24,car,bad,1239
241,51,male,2,own,little,NA,1595,6,radio/TV,good,1240
242,24,male,2,free,little,little,4605,48,car,bad,1241
243,27,female,2,own,little,NA,1185,12,business,good,1242
244,35,female,1,own,quite rich,NA,3447,12,education,good,1243
245,25,male,2,own,little,NA,1258,24,business,good,1244
246,52,male,2,own,little,NA,717,12,radio/TV,good,1245
247,35,male,2,rent,moderate,NA,1204,6,car,good,1246
248,26,male,2,own,little,rich,1925,24,furniture/equipment,good,1247
249,22,female,2,rent,little,NA,433,18,radio/TV,bad,1248
250,39,female,1,own,rich,little,666,6,car,good,1249
251,46,female,1,own,little,rich,2251,12,furniture/equipment,good,1250
252,24,female,2,own,little,moderate,2150,30,car,bad,1251
253,35,male,2,own,moderate,NA,4151,24,furniture/equipment,good,1252
254,24,male,2,own,NA,moderate,2030,9,furniture/equipment,good,1253
255,27,male,1,own,NA,moderate,7418,60,radio/TV,good,1254
256,35,male,1,own,little,NA,2684,24,radio/TV,good,1255
257,29,male,2,free,little,little,2149,12,radio/TV,bad,1256
258,23,female,2,own,moderate,NA,3812,15,car,good,1257
259,57,female,1,own,moderate,NA,1154,11,radio/TV,good,1258
260,27,male,2,own,little,little,1657,12,furniture/equipment,good,1259
261,55,female,2,own,little,little,1603,24,radio/TV,good,1260
262,36,male,3,free,little,little,5302,18,car,good,1261
263,57,female,1,free,little,NA,2748,12,education,good,1262
264,32,male,1,own,little,NA,1231,10,car,good,1263
265,37,male,2,own,little,moderate,802,15,radio/TV,bad,1264
266,36,male,2,own,NA,NA,6304,36,business,good,1265
267,38,female,2,own,little,NA,1533,24,radio/TV,good,1266
268,45,male,3,own,little,little,8978,14,car,bad,1267
269,25,male,2,own,NA,NA,999,24,radio/TV,good,1268
270,32,male,2,own,NA,NA,2662,18,car,good,1269
271,37,female,2,rent,quite rich,NA,1402,12,furniture/equipment,good,1270
272,36,male,3,free,NA,moderate,12169,48,car,good,1271
273,28,male,2,own,little,moderate,3060,48,radio/TV,bad,1272
274,34,male,1,own,little,little,11998,30,repairs,bad,1273
275,32,male,2,own,little,NA,2697,9,radio/TV,good,1274
276,26,female,2,own,little,NA,2404,18,radio/TV,good,1275
277,49,male,1,own,NA,little,1262,12,furniture/equipment,good,1276
278,32,female,2,own,little,NA,4611,6,furniture/equipment,bad,1277
279,29,male,3,rent,moderate,NA,1901,24,radio/TV,good,1278
280,23,male,2,rent,rich,NA,3368,15,car,good,1279
281,50,male,2,own,little,NA,1574,12,furniture/equipment,good,1280
282,49,male,1,own,NA,rich,1445,18,radio/TV,good,1281
283,63,male,2,own,NA,NA,1520,15,furniture/equipment,good,1282
284,37,male,2,own,moderate,moderate,3878,24,car,good,1283
285,35,female,1,own,little,little,10722,47,car,good,1284
286,26,male,2,own,little,little,4788,48,car,good,1285
287,31,male,3,free,moderate,moderate,7582,48,vacation/others,good,1286
288,49,female,2,own,little,moderate,1092,12,radio/TV,good,1287
289,48,male,2,own,little,little,1024,24,radio/TV,bad,1288
290,26,male,2,own,little,NA,1076,12,business,good,1289
291,28,male,3,rent,little,moderate,9398,36,car,bad,1290
292,44,female,3,free,little,little,6419,24,car,good,1291
293,56,male,2,free,little,rich,4796,42,car,good,1292
294,46,male,3,own,NA,NA,7629,48,business,good,1293
295,26,female,2,own,little,moderate,9960,48,furniture/equipment,bad,1294
296,20,female,2,rent,NA,NA,4675,12,car,good,1295
297,45,male,1,own,NA,NA,1287,10,car,good,1296
298,43,male,2,own,little,NA,2515,18,furniture/equipment,good,1297
299,32,male,2,own,rich,moderate,2745,21,furniture/equipment,good,1298
300,54,female,0,own,little,NA,672,6,car,good,1299
301,42,female,2,own,little,moderate,3804,36,radio/TV,bad,1300
302,37,male,1,own,NA,rich,1344,24,car,bad,1301
303,49,male,2,own,little,little,1038,10,car,good,1302
304,44,male,2,free,quite rich,NA,10127,48,car,bad,1303
305,33,male,2,own,rich,NA,1543,6,furniture/equipment,good,1304
306,24,female,1,rent,NA,NA,4811,30,car,good,1305
307,33,male,1,own,moderate,little,727,12,radio/TV,bad,1306
308,24,female,2,own,little,moderate,1237,8,furniture/equipment,bad,1307
309,22,male,1,rent,little,moderate,276,9,car,good,1308
310,40,male,0,free,NA,moderate,5381,48,vacation/others,good,1309
311,25,male,2,own,moderate,NA,5511,24,furniture/equipment,good,1310
312,26,female,2,own,little,rich,3749,24,furniture/equipment,good,1311
313,25,male,1,own,little,moderate,685,12,car,bad,1312
314,29,male,1,own,NA,rich,1494,4,car,good,1313
315,31,male,2,own,little,little,2746,36,furniture/equipment,bad,1314
316,38,male,1,own,little,little,708,12,furniture/equipment,good,1315
317,48,female,1,own,NA,moderate,4351,24,furniture/equipment,good,1316
318,32,male,2,own,little,NA,701,12,education,good,1317
319,27,female,1,own,little,little,3643,15,furniture/equipment,good,1318
320,28,male,3,own,little,moderate,4249,30,car,bad,1319
321,32,male,2,own,little,little,1938,24,radio/TV,bad,1320
322,34,male,3,free,little,little,2910,24,car,good,1321
323,28,male,2,own,rich,little,2659,18,furniture/equipment,good,1322
324,36,female,2,own,little,NA,1028,18,car,good,1323
325,39,male,1,own,little,little,3398,8,car,good,1324
326,49,male,2,rent,NA,NA,5801,12,furniture/equipment,good,1325
327,34,female,2,own,rich,NA,1525,24,car,good,1326
328,31,male,2,own,little,rich,4473,36,radio/TV,good,1327
329,28,male,2,own,little,moderate,1068,6,radio/TV,good,1328
330,75,male,3,free,little,little,6615,24,car,good,1329
331,30,female,2,own,moderate,NA,1864,18,education,bad,1330
332,24,female,3,own,moderate,moderate,7408,60,car,bad,1331
333,24,female,1,rent,moderate,NA,11590,48,car,bad,1332
334,23,male,2,rent,little,little,4110,24,furniture/equipment,bad,1333
335,44,male,3,rent,little,little,3384,6,furniture/equipment,bad,1334
336,23,female,1,own,little,moderate,2101,13,radio/TV,good,1335
337,24,female,2,rent,NA,little,1275,15,domestic appliances,bad,1336
338,28,male,2,own,little,little,4169,24,furniture/equipment,good,1337
339,31,male,1,own,little,moderate,1521,10,furniture/equipment,good,1338
340,24,female,2,free,little,moderate,5743,24,education,good,1339
341,26,female,1,rent,little,little,3599,21,furniture/equipment,good,1340
342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV,good,1341
343,33,male,3,own,little,moderate,4439,18,business,good,1342
344,37,male,1,own,little,rich,3949,10,car,good,1343
345,43,female,1,own,little,NA,1459,15,radio/TV,good,1344
346,23,male,2,own,little,moderate,882,13,radio/TV,good,1345
347,23,female,0,rent,quite rich,moderate,3758,24,radio/TV,good,1346
348,34,male,1,own,moderate,NA,1743,6,business,good,1347
349,32,male,2,free,rich,moderate,1136,9,education,bad,1348
350,23,female,2,rent,little,NA,1236,9,domestic appliances,good,1349
351,29,female,2,own,little,moderate,959,9,furniture/equipment,bad,1350
352,38,male,3,own,NA,NA,3229,18,car,good,1351
353,28,male,2,rent,little,little,6199,12,radio/TV,bad,1352
354,46,male,2,free,quite rich,NA,727,10,education,good,1353
355,23,male,1,own,little,moderate,1246,24,car,bad,1354
356,49,male,2,own,NA,NA,2331,12,radio/TV,good,1355
357,26,male,3,own,little,NA,4463,36,radio/TV,bad,1356
358,28,male,2,own,little,NA,776,12,radio/TV,good,1357
359,23,female,2,rent,little,little,2406,30,furniture/equipment,bad,1358
360,61,male,2,free,NA,moderate,1239,18,education,good,1359
361,37,male,3,own,NA,rich,3399,12,radio/TV,good,1360
362,36,female,2,own,little,rich,2247,12,car,good,1361
363,21,male,2,rent,little,NA,1766,6,furniture/equipment,good,1362
364,25,male,0,own,little,little,2473,18,furniture/equipment,bad,1363
365,36,male,2,own,little,NA,1542,12,business,good,1364
366,27,male,2,own,little,NA,3850,18,car,good,1365
367,22,female,2,rent,little,little,3650,18,furniture/equipment,good,1366
368,42,male,2,own,little,little,3446,36,furniture/equipment,bad,1367
369,40,female,2,rent,little,moderate,3001,18,furniture/equipment,good,1368
370,36,male,2,own,NA,NA,3079,36,car,good,1369
371,33,male,2,own,little,NA,6070,18,radio/TV,good,1370
372,23,female,2,rent,little,NA,2146,10,furniture/equipment,good,1371
373,63,male,3,free,NA,NA,13756,60,car,good,1372
374,60,female,3,free,moderate,moderate,14782,60,vacation/others,bad,1373
375,37,female,2,rent,little,little,7685,48,business,bad,1374
376,34,male,2,own,little,NA,2320,18,radio/TV,good,1375
377,36,male,2,free,NA,NA,846,7,radio/TV,good,1376
378,57,male,3,free,little,moderate,14318,36,car,bad,1377
379,52,female,1,own,moderate,NA,362,6,car,good,1378
380,39,male,2,own,NA,little,2212,20,furniture/equipment,good,1379
381,38,female,3,free,little,moderate,12976,18,car,bad,1380
382,25,female,2,rent,NA,NA,1283,22,car,good,1381
383,26,male,2,own,little,rich,1330,12,car,good,1382
384,26,male,1,own,moderate,NA,4272,30,business,good,1383
385,25,female,2,own,little,NA,2238,18,radio/TV,good,1384
386,21,female,2,rent,NA,NA,1126,18,radio/TV,good,1385
387,40,male,3,own,little,moderate,7374,18,furniture/equipment,good,1386
388,27,male,2,own,quite rich,moderate,2326,15,business,good,1387
389,27,female,2,own,little,NA,1449,9,business,good,1388
390,30,male,3,own,little,NA,1820,18,car,good,1389
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,good,1390
392,39,male,3,free,little,little,3249,36,car,good,1391
393,31,female,2,own,little,little,1957,6,radio/TV,good,1392
394,31,male,3,own,little,NA,2406,9,furniture/equipment,good,1393
395,32,male,2,rent,moderate,moderate,11760,39,education,good,1394
396,55,female,3,free,little,little,2578,12,furniture/equipment,good,1395
397,46,male,2,own,little,little,2348,36,furniture/equipment,good,1396
398,46,male,2,rent,little,moderate,1223,12,car,bad,1397
399,43,female,1,own,rich,NA,1516,24,radio/TV,good,1398
400,39,male,2,own,little,NA,1473,18,radio/TV,good,1399
401,28,male,2,own,NA,moderate,1887,18,business,good,1400
402,27,male,2,own,little,NA,8648,24,business,bad,1401
403,27,male,1,own,little,NA,802,14,car,good,1402
404,43,male,2,own,NA,moderate,2899,18,car,good,1403
405,22,male,2,own,little,moderate,2039,24,radio/TV,bad,1404
406,43,male,2,own,NA,NA,2197,24,car,good,1405
407,27,male,2,own,little,little,1053,15,radio/TV,good,1406
408,26,male,3,own,quite rich,NA,3235,24,radio/TV,good,1407
409,28,male,2,own,quite rich,rich,939,12,car,bad,1408
410,20,female,2,own,little,moderate,1967,24,radio/TV,good,1409
411,35,male,3,own,little,NA,7253,33,car,good,1410
412,42,male,3,own,little,NA,2292,12,business,bad,1411
413,40,male,1,rent,quite rich,NA,1597,10,car,good,1412
414,35,female,2,own,NA,little,1381,24,car,bad,1413
415,35,male,2,own,little,NA,5842,36,car,good,1414
416,33,male,1,own,little,little,2579,12,car,bad,1415
417,23,female,2,rent,NA,little,8471,18,education,good,1416
418,31,female,3,own,quite rich,NA,2782,21,car,good,1417
419,33,female,2,own,NA,moderate,1042,18,car,bad,1418
420,20,female,2,rent,rich,NA,3186,15,car,good,1419
421,30,male,2,own,NA,moderate,2028,12,car,good,1420
422,47,male,1,own,little,moderate,958,12,car,good,1421
423,34,male,3,own,moderate,NA,1591,21,furniture/equipment,good,1422
424,25,female,2,own,NA,moderate,2762,12,furniture/equipment,bad,1423
425,21,male,2,rent,little,moderate,2779,18,car,good,1424
426,29,male,2,own,little,NA,2743,28,radio/TV,good,1425
427,46,male,2,own,rich,NA,1149,18,radio/TV,good,1426
428,20,male,2,own,little,NA,1313,9,furniture/equipment,good,1427
429,55,female,0,free,little,little,1190,18,repairs,bad,1428
430,74,male,1,own,little,NA,3448,5,business,good,1429
431,29,male,3,own,little,moderate,11328,24,vacation/others,bad,1430
432,36,male,3,free,little,little,1872,6,furniture/equipment,good,1431
433,33,male,2,own,little,NA,2058,24,repairs,good,1432
434,25,male,2,own,little,little,2136,9,furniture/equipment,good,1433
435,25,male,2,own,NA,moderate,1484,12,radio/TV,bad,1434
436,23,male,1,rent,quite rich,NA,660,6,repairs,good,1435
437,37,female,2,own,rich,NA,1287,24,car,good,1436
438,65,male,0,own,little,little,3394,42,repairs,good,1437
439,26,female,0,own,little,rich,609,12,business,bad,1438
440,39,male,3,own,little,NA,1884,12,car,good,1439
441,30,female,2,own,little,little,1620,12,furniture/equipment,good,1440
442,29,male,2,own,little,moderate,2629,20,vacation/others,good,1441
443,41,male,1,own,little,NA,719,12,education,bad,1442
444,30,female,3,own,little,moderate,5096,48,furniture/equipment,bad,1443
445,41,female,1,rent,NA,NA,1244,9,education,good,1444
446,34,female,2,own,little,little,1842,36,car,bad,1445
447,35,male,2,own,little,moderate,2576,7,radio/TV,good,1446
448,55,female,3,own,NA,rich,1424,12,furniture/equipment,good,1447
449,61,male,2,own,rich,moderate,1512,15,repairs,bad,1448
450,30,male,3,own,NA,NA,11054,36,car,good,1449
451,29,female,2,own,little,NA,518,6,radio/TV,good,1450
452,34,male,2,own,little,NA,2759,12,furniture/equipment,good,1451
453,35,male,3,own,little,NA,2670,24,car,good,1452
454,31,male,2,own,little,little,4817,24,car,bad,1453
455,29,female,3,own,little,NA,2679,24,car,good,1454
